URL,Traffico,Keyword,Menzioni AI
https://liberating.it/,480,10,0
https://liberating.it/structures/1-2-4-all/,148,11,0
https://liberating.it/structures/drawing-together/,89,2,0
https://liberating.it/structures/triz/,9,3,0
https://liberating.it/structures/25-10-crowd-sourcing/,8,4,0
https://liberating.it/structures/ecocycle-planning/,6,8,0
https://liberating.it/structures/troika-consulting/,3,3,0
https://liberating.it/structures/wicked-questions/,3,4,0
https://liberating.it/structures/shift-share/,2,4,0
https://liberating.it/structures/panarchy/,1,1,0
https://liberating.it/structures/conversation-cafe/,1,2,0
https://liberating.it/structures/9-whys/,1,3,0
https://liberating.it/structures/discovery-action-dialogue-dad/,1,4,0
https://liberating.it/structures/user-experience-fishbowl/,1,2,0
https://liberating.it/structures/w3-what-so-what-now-what/,1,2,0
https://liberating.it/structures/critical-uncertainties/,0,1,0
https://liberating.it/structures/heard-seen-respected-hsr/,0,2,0
https://liberating.it/structures/improv-prototyping/,0,1,0
https://liberating.it/structures/min-specs/,0,1,0
https://liberating.it/structures/helping-heuristics/,0,1,0
https://liberating.it/structures/15-solutions/,0,2,0
https://liberating.it/structures/integrated-autonomy/,0,1,0
https://liberating.it/structures/appreciative-interviews-ai/,0,2,0
https://liberating.it/structures/simple-ethnography/,0,1,0
https://liberating.it/complessita/iniziare-subito/,0,2,0
https://liberating.it/structures/impromptu-networking/,0,2,0
https://liberating.it/structures/social-network-webbing/,0,1,0
https://liberating.it/difficolta/intermedia/page/2/,0,2,0
https://liberating.it/structures/talking-with-pixies/,0,1,0
https://liberating.it/structures/open-space-technology-ost/,0,1,0
https://liberating.it/structures/wise-crowds/,0,1,0
https://liberating.it/structures/agreement-certainty-matrix/,0,1,0
https://liberating.it/structures/purpose-to-practice-p2p/,0,1,0
